S_ID,PLACE_ID,PLACE_NAME,DESCRIPTION,LATITUDE,LONGITUDE,AREA,CITY,DISTRICT,STATE,COUNTRY,PINCODE,CATEGORY,VISIT_TIME,RATING,TAG_1,TAG_2,TAG_3
38,INOD08038,AKSHARSHILA ROCK,"The Aksharsila rock inscription has been deciphered by Bamenda, Bichhitra Srayana and Bichitra Bhusanashya. The most ancient of the historical relics is the Aksharsila rock inscription. It has generated considerable interest among antiquarians and historiographers. The script of the Inscription has believed to be pre-Brahmi. It is near contemporary of the Bikramkhol rock inscription of the Jharsuguda district.",21.54299324,85.00612929,BALANDA,BARKOTE,DEBAGARH,ODISHA,INDIA,768110,TEMPLES,ALL TIME,8,SPIRITUAL,MYTHOLOGICAL,HISTORICAL
39,INOD08039,DARAGADI STREAM,"The Daragadi stream is situated at Tensara village, and it is around 70 km distance from Deogarh. This Stream flows through Angul and Keonjhar districts. The natural Place, dense and thick forest and high mountains attract thousands of visitors to a tourist place. The Dargadi stream flows through the hills and mountains, which attracts a large number of tourists during winters. The Stream is a connection point of 3 districts Deogarh, Sundargarh and Angul. Daragadi Waterfall is best for Picnic, Excursion & Weekend holidays in the winter. Daragadi stream is one of the best attraction tourist places in Deogarh, Odisha.",21.54833598,85.20856655,GANESWARPUR,BARKOTE,DEBAGARH,ODISHA,INDIA,768110,WATERFALLS,WINTER,9,NATURAL,HILLS,ADVENTURE
40,INOD08040,KATASAR GHAT SHIVA TEMPLE,"Katasar ghat shiva temple is situated around 40 km from Deogarh. The natural streams flowing inside two temple premises are Banadurga temple and Lord Shiva temple. Visitors and tourists come here to enjoy the peaceful and spiritual atmosphere. Sanatan Hindu Ashram is situated 2 km away from Katasar ghat. The temple is surrounded by dense forests and Hills. It is one of the most famous and attractive picnic spots for tourists. Katasar ghat is under Kankarkhol reserved forest area. The holy month of Sravana and the annual festival is the Shiva Ratri, On this day, thousands of devotees come here to worship Lord Shiva. Katasar ghat Shiva temple is one of the Tourist places in Deogarh, Odisha.",21.25391115,84.76865063,RAIRATANPUR,KUNDHEIGOLA,DEBAGARH,ODISHA,INDIA,768109,TEMPLES,ALL TIME,8,SPIRITUAL,HILLS,MONSOON
41,INOD09041,KAPILASH MAHADEV TEMPLE,Chandrashekhar Mahadev temple is situated on the top of the hill called Kapilash hill and 25 km distance from Dhenkanal Town. The hill is about 1500 feet high from the ground. The hill is surrounding by dense forest and overlooking the river Mahanadi of Cuttack city. Lord Chandrasekhar is 600 feet and belongs to the 14 century AD. The temple was constructed during the king of Narshima Dev II of the Ganga dynasty and was completed in the year 1335-1336 AD. There are 1352 running steps to the temple of facility the travellers besides the motorable road. Kapilash Chandrasekhar Temple is a famous temple in Dhenkanal District.,20.68082367,85.7631448,DHENKANAL,DHENKANAL,DHENKANAL,ODISHA,INDIA,759001,TEMPLES,WINTER,10,SPIRITUAL,ADVENTURE,HILLS
42,INOD09042,LORD VISHNU ANANTASAYANA,"Anantasayana Lord Vishnu is situated Saranga at bank River Brahmani. It is 67 km from Dhenkanal and 8 km from Talcher. The Anantasayi image of lord Vishnu on the rocky bed of river Brahmani. The serpent king spread over the head of Lord Vishnu as the crown and cover. The primal lotus, housing Brahma the creator. Originates from Vishnu’s naval Vishnu, the supreme being enjoyed the deep delight of his cosmic sleep in the waters of the Brahmani river. Saranga Anantashayana Vishnu is a famous tourist places in Dhenkanal.",20.92895506,85.24696974,SARANGA,KAMAKHYANAGAR,DHENKANAL,ODISHA,INDIA,759146,TEMPLES,ALL TIME,9,SPIRITUAL,MYTHOLOGICAL,JAGANNATH
43,INOD09043,ASTASHAMBHU TEMPLE,"Astashambhu Temple is situated at Kualo. It is 72 km from Dhenkanal. Lord Shiva presiding deity of these temples. Lord Kanakeswar, Baidyanath, Paschimeswar, Balunkeswar and Lord Kapileswar is worshipped in Astashambhu Temple. The Kanakeswar is about 24 meters high and preserves some of the earliest sculptures representing ancient temple building activities in Odisha. Kualo Astasambhu Temle is a famous Shiva temple in Dhenkanal.  Locals say the Ashtashambhu temple is a 1,000-year-old temple. Mahashivratri is the main festival of the temple, and a large number of devotees come to celebrate the festival with much fanfare.",20.78428319,85.55671563,KUANLO,KAMAKHYANAGAR,DHENKANAL,ODISHA,INDIA,759120,TEMPLES,ALL TIME,9,SPIRITUAL,ARCHITECTURE,MONSOON
44,INOD09044,SAPTASAJYA HILL,"Saptasajya is located On the top of the hill. It is a place is known as the seat of the Saptashis(Seven sages), which seems to be heaven. The hill range is 11 km away to the southwest of Dhenkanal town. As per the ancient legendary lord, Rama has spent some days, and Pandavas of Mahabharat also spent some days at their Ajyanta Barnabas. Saptasajya Hill is a popular picnic spot in Dhenkanal. The natural beauty of the hills and the dense forest attracts many tourists during the winter. Saptasajya hill station can be seen many small and largest waterfall.",20.57865229,85.57656014,SAPTASAJYA,DHENKANAL,DHENKANAL,ODISHA,INDIA,759015,HILLS,ALL TIME,8,NATURAL,MYTHOLOGICAL,FOREST
45,INOD09045,SAPUA DAM,"Sapua dam is located in Hindol Block. It is 6 km distance from Rasol and 46 km from Dhenkanal town. It is a medium irrigation project that is used for farming completed in the year 2006. The dam was commissioned in 2006. The purpose of the reservoir is to store water for irrigation. The reservoir is surrounded by dense sal forests, which attract tourists. This dam is known as a SAPUA because its bridge looks like a snake. The place is extremely valued for its scenic beauty attracts people for a weekend picnic in winter. Sapua project dam is one of the popular tourist places in Dhenkanal.",20.59517711,85.29414056,DANDIRI,HINDOL,DHENKANAL,ODISHA,INDIA,759021,DAMS,ALL TIME,8,NATURAL,INFRASTRUCTURE,ADVENTURE
46,INOD10046,TARATARINI TEMPLE,"Taratarini temple is situated on the bank of the holy river Rushikulya and at the top of a hillock. Goddess Tara-Tarini is the presiding deity of this temple and is covered with gold and silver adornments. This temple is a religious place in the Ganjam district. It is located around 35 km distance from Berhampur and 25 km from Chhatrapur. The temple has covered by a hilly green forest. Maa Tara Tarini Temple is a famous temple in the Ganjam District. There are twin-seat of the goddess on the top of the hill in the village Govindapur. It has connected with 999 steps from the ground. Besides this, there is a memorable road approaching the shrines. Chaitra Parba, Mela and Yatra are the main festivals of this temple. A great festival is held here on the third Tuesday of every Chaitra month, during which a large number of devotees gather here to worship Maa Taratarini.",19.48905316,84.8990899,RAIPUR,PURUSOTTAMPUR,GANJAM,ODISHA,INDIA,761018,TEMPLES,ALL TIME,9,SPIRITUAL,HILLS,GODDESS
47,INOD10047,RAMBHA LAKE & BIRD ISLAND,"Birds Island is about 5 km distance from Rambha and 50 km from Berhampur Town. A Little island has located in the middle of Chilika lake, surrounded by water. It can be easily visited using a boat and is an ideal place for a picnic. It is a place of entertainment of varieties of residential birds. Many types of birds migrate here from different parts of the world during the winter season. Chilika Birds Island is tourist attraction places near Berhampur. As Chilika lake is recognized as a global tourist destination, it attracts a large number of tourists from abroad. The beautiful rocks and a Big Dinosaur statue are the main attraction of this island. To go to Birds Island, you have to go by boat from Rambha. The best time to visit Birds Island is in the winter season.",19.51743504,85.13456405,CHILIKA,RANBHA,GANJAM,ODISHA,INDIA,761029,ISLAND,WINTER,9,NATURAL,ADVENTURE,WILDLIFE
48,INOD10048,GOPALPUR BEACH,"Gopalpur Sea Beach is located at a distance of 16 km away from Berhampur town in the District of Ganjam. It extends on the coast of the Bay of Bengal and is famous for its lovely and long sandy beach. It attracts lots of visitors to enjoy the natural scenery of the beach and is suitable for bathing. There are many star hotels and resorts near the beach where visitors and tourists can rest and stay at night. It is a seaport, Resort and charming place near Brahmapur city. Gopalpur is famous for its Olive Ridley Turtles nest. The Sunset site of Gopalpur beach is incredible for tourists in the Winter Season. A perfect place for enjoying the sea with friends and family. Gopalpur has a Lighthouse which is another attraction near the beach. The beach is well-developed and clean, and it is well-connected to the city of Berhampur. A beautiful park for children has been built near the Beach.",19.25775333,84.90923275,GOPALPUR,BERHAMPUR,GANJAM,ODISHA,INDIA,761002,BEACHES,ALL TIME,9,NATURAL,WINTER,WILDLIFE
49,INOD10049,JAUGADA FORT,"Jaugada Fort is a famous historical place in the Ganjam district in Odisha. It is located around 8 km distance from Purushottampur and 32 km away from Berhampur. It is a land of history remains that have ancient forts and a place for research. It was built by Druyodhan of Mahabharata, having five stone images of five Pandavas, which is more attractive for scholars. It is the second edict of the emperor. King Ashoka visited Jaugada Fort and writes a few lines in the Parsi language. Ashoka had come to Odisha for and first time at Dhauli near Bhubaneswar. It is the center of Buddhism and Saivism.",19.52292552,84.83082066,PANDARAKHALLI,PURUSOTTAMPUR,GANJAM,ODISHA,INDIA,761043,MONUMENTS,ALL TIME,8,HISTORICAL,ROYAL,MYTHOLOGICAL
50,INOD10050,ARYAPALLI MARINE BEACH,Aryapalli Marine Beach is located about 6 km distance from Gopalpur Beach and 31 km from Berhampur. It lies on the coast of the Bay of Bengal and is famous for its lovely and long sandy beach. Aryapalli Beach is a beautiful tourist destination near Berhampur city. The place is a confluence of the river Rushikulya and the Bay of Bengal. It is a lovely place to visit for pre-wedding photoshoots with Blue Sea Water. Sunrises and sunrises on the beach attract spectators. Aryapalli Marine Sea beach is a popular tourist attraction places near Berhampur city.,19.31045256,84.97187332,ARYAPALLI,CHATRAPUR,GANJAM,ODISHA,INDIA,761045,BEACHES,WINTER,10,NATURAL,ADVENTURE,OCEAN
51,INOD11051,GAJAPATI PALACE,"The Gajapati palace of Paralakhemundi and Brundaban Palace are located at Paralakhemundi in Gajapati district, and 237 km from Bhubaneswar. It has placed on the riverbank of the Mahendratanaya River. The palace was built by Gajapati ruler Maharaja Krushna Chandra Gajapati. According to history, that construction began during the reign of Paralakhemundi. The Gajapati Palace enhances the beauty of the state. The concept of building the sight was finalized on 20 May 1835. The palace was built for the permanent residence of the Gajapati rulers of the Ganga dynasty in Paralakhemundi.",18.77884909,84.0868808,PARALAKHEMUNDI,PARALAKHEMUNDI,GAJAPATI,ODISHA,INDIA,761200,PALACE,ALL TIME,8,HISTORICAL,ROYAL,ARCHITECTURE
52,INOD11052,PADMASAMBHAVA STATUE,"Padmasambhava Statue is built in the Atanpuri style of architecture of Nalanda by architects from Tibet, Nepal and Bhutan assisted by local masons. It is 70 feet and five stories high and is built on 10 acres (40,000 m2) of land. It features a 23 feet (7.0 m) high Buddha statue and a 17 feet (5.2 m) Buddha Padmasambhava. Around 200 monks are resident in the monastery, which is named after Acharya Padmasambhava (who was born in Oddiyana), who is believed to have spread Buddhism to Tibet in the 7th Century. There is a school for Tibetan studies, and students are staying and reading different courses here. The five-storey monastery has a meditation shrine hall and other small temples, institutes and hostels inside the spread-out complex.",19.23677746,84.27195086,MAHENDRAGADA,MOHANA,GAJAPATI,ODISHA,INDIA,761017,MONUMENTS,ALL TIME,9,HISTORICAL,SPIRITUAL,ARCHITECTURE
53,INOD11053,MAHENDRAGIRI HILL,"Mahendragiri Hills is located in the Eastern Ghats of Odisha state, and it is 40 km distance from Paralakhemundi. It is a beautiful hill covered with green dense forest and wildlife. Mahendragiri is the Second highest mountain peak of Odisha. The river Mahendratanaya flows down from this hill is an attraction to the visitor. Mahendragiri mountain is famous for Red sandalwood (Lal Chandan) and medicinal plants in Odisha. From the mythological and archaeological point, Panchupandavas and Parasuram were sheltered here for some days. Mahendragiri hills are associated with the Ramayana as Mahendra Parvata. It is a Kula Parvata along with Malaya, Sahyadri, Shuktiman, Vindhya and Malyavaan. In the Puranas and Ramayan, It is said that Parasuram was meditating on Mahendragiri when Lord Rama broke the sacred bow of Shiva.",18.97805316,84.36989895,BURAKHAT,PARALAKHEMUNDI,GAJAPATI,ODISHA,INDIA,761212,HILLS,WINTER,9,NATURAL,ADVENTURE,FOREST
54,INOD11054,GANDAHATI WATERFALL,"The Gandahathi Waterfall is located at Gandahati village and is about 30 km from Paralakhemundi and 153 km away from Berhampur. The place is so beautiful of the waters is falling from the canals in between the hills. It is one of the most peaceful and pleasant zones for visitors. It is a Peaceful place, and tourists enjoy bathing. Gandahati is one of the muthas of Paralakhemundi Zamindari. Once upon a time, Elephants used to live in this place, now no more. The flora includes Sal, Piasal, Dharua, Mahula, Haldu, Sidha, Kendu, Harida, Amla, Karanja, Arjun etc. Fauna, Elephant, Leopard, Sambar, Barking deer, spotted deer, wild boar, Porcupine, Peacock, Pheasants, Parrots, Eagles, Golden Orioles Cuckoos are found here. It is a picnic spot for pleasure-seeking visitors from far and near. Visitors to and from Gandahati continue to travel throughout the year as the waterfall is perennial. ",18.89050689,84.27045755,GANDAHATI,PARALAKHEMUNDI,GAJAPATI,ODISHA,INDIA,761215,WATERFALLS,WINTER,8,NATURAL,WILDLIFE,ADVENTURE
55,INOD11055,BRUNDABAN PALACE,Brundaban Palace is located on the bank of river Mahendratanaya at Paralakhemundi and is only 1.5 km distance from Paralakhemundi Bus Stand. B.N.Palace is also known as Brundabana Palace. It is nearby the Odisha – Andhra Pradesh border. The Brundabana Palace was built by Paralakhemundi Maharaja Krishna Chandra Gajapati. It is believed that the Paralakhemundi ruler started building the palace to enhance the beauty of the state. The king is said to have used the Palace during the summer. A three-story building with an underground floor at Brundaban Palace. It has an underground connection to the main Palace and a beautiful structure with magnificent artwork. The palace is known for its rich culture among the world heritages.,18.77386857,84.09807832,PARALAKHEMUNDI,PARALAKHEMUNDI,GAJAPATI,ODISHA,INDIA,761200,PALACE,ALL TIME,9,HISTORICAL,ROYAL,ARCHITECTURE
56,INOD12056,RAM CHANDI TEMPLE,"The Ram Chandi temple is situated inside a natural rock cave on the banks of river IB. It is about 4 km from Brajarajnagar and is 20 km distance from Jharsuguda Railway Station. Goddess Chandi is worshipped here in a small Cave.  To worship Goddess Chandi, one has to come to the temple with an iron ladder. one can have a beautiful view of the natural surroundings of the banks of the river Ib. Chaitra Purnima and Ashwini Navaratri are the main festivals of the Chandi temple and a large number of devotees come here to celebrate this festival. Tourists are attracted by the beautiful scenery from the temple and the scenic nature of the river. Brajrajnagar Ramchandi Mandir is a famous temple in jharsuguda District.",21.80817335,83.94393918,BRAJRAJNAGAR,BRAJRAJNAGAR,JHARSUGUDA,ODISHA,INDIA,768225,TEMPLES,ALL TIME,9,SPIRITUAL,NATURAL,DEVI PUJA
57,INOD12057,JHADESWAR TEMPLE,"Jhadeswar Shiva temple is located about 1 km distance from the Jharsuguda Railway station. There is a self appearing Sivalingam here, the actual age of which is unknown. Jhadeswar temple is an ancient Shiva temple of Odisha. According to history, Shiva Lingam was worshipped in a hut made of leaves during the reign of Govind Singh Jaminder of Jharsuguda. In 1916 a Gujarati contractor named Mulju Jagmal erected a small temple here. The Jamindar of Jharsuguda arranged Savayats for daily worship and donated agricultural lands for the maintenance of the temple and puja. Lord Jhadeswar Mandir is a famous temples in Jharsuguda, Odisha.",21.84810034,84.03294815,PURUNABASTI,JHARSUGUDA,JHARSUGUDA,ODISHA,INDIA,768201,TEMPLES,ALL TIME,9,SPIRITUAL,MYTHOLOGICAL,ARCHITECTURE
58,INOD12058,VIKRAMKHOL CAVE,"Vikramkhol Cave Inscription is located 12 km distance from Belpahar. It is about 35 km away from Jharsuguda. In this inaccessible dense forest Ancient people lived surviving on fruits, roots and animal meat. During 4000 BC, there was an evolution of human civilization in the region and a script was developed by them. There is some ancient script engraved on the wall of Bikramkhol and also paintings of animals. Circular holes have been dug in the wall where weapons, dresses and other articles of use were being kept suspended. Even on the floors, circular holes have been dug to pound the grains. Bikramkhol cave has been declared a tourist spot by the Central Government, Odisha Tourism, historians and researchers from all over the country and abroad.",21.82696235,83.764368,KAUDARH,BELPAHAR,JHARSUGUDA,ODISHA,INDIA,768217,CAVES,ALL TIME,9,HISTORICAL,UNIQUE,FOREST
59,INOD12059,RAMPALUGA ISLAND,"Rampaluga picnic spot is 10 km distance from Beheramal and 47 km from Jharsuguda town. There are small islands inside the Mahanadi reservoir. This place is on the opposite side of the Hirakud Dam. Tourists come to the Rampaluga for picnics and boating during the winter season. A new park has been set up at the site to attract more tourists. Rampaluga picnic spot is one of the most popular tourist places in the Jharsuguda District. There are boating facilities for tourists to go around Rampaluga island. The hills and sunrise at Rampaluga add to the beauty of this place. Rampaluga is a tourist attraction places near Jharsuguda, Odisha. ",21.67255592,83.74677715,RAMPALUNGA,LAKHANPUR,JHARSUGUDA,ODISHA,INDIA,768234,ISLAND,WINTER,9,NATURAL,ADVENTURE,HILLS
60,INOD12060,KOILIGHUGAR WATERFALL,The Koilighugar waterfall is situated 55 km distance from Jharsuguda in the Lakhanpur block near the village Kushmelbahal. Shiva’s Linga is in the water and is difficult to see in the winter. Another Shiva linga has been created outside the waterfall for the convenience of the pilgrims. Lingam is reflected in the sun’s rays reflected in the summer. Koilighugar Waterfall is a tourist attraction places near Jharsuguda District. There is a Shiva temple located on Koilighugar Waterfall. Lord Shiva is worshipped in this temple. Every year a fair is held in Koiligugar on the occasion of Shivratri. Maha Shivaratri is the main festival of this place. The beautiful natural environment and the sound of the waterfall attract the visiter during winter.,21.80613631,83.66867603,DEBDARHA,LAKHANPUR,JHARSUGUDA,ODISHA,INDIA,768219,WATERFALLS,WINTER,8,NATURAL,SPIRITUAL,ADVENTURE
61,INOD13061,CHHATIA BATA TEMPLE,"The famous Chhatia Bata Temple is situated about 30 km distance from Cuttack and 48 km away from Jajpur Town. The main deity of this temple is Lord Jagannath, Balabhadra, Devi Subhadra. The main attraction of this temple is the old banyan tree inside the bata campus. It was his sadhana Pitha and samadhi Pitha and stand still as yet like Achyutanda. Hadi das has written many bhajans, Janana and Malika consisting indication of futurity. Hadi Das is a great saint of Odisha and is also worshipped by the people. Chhatia bata is a sacred place for Hindus. There is lord Jagannath Mandir at Chhatia in a modern architectural temple, which looks very beautiful temple in Odisha. The temple was built by Anantavarman Chodaganga Deva in the 12th century. The rituals and traditions at Jagannath temple in Puri are also followed in Chhatia Bata Jajpur.",20.61092823,86.06696518,CHHATIA,PAIKARAPUR,JAJPUR,ODISHA,INDIA,754003,TEMPLES,ALL TIME,10,SPIRITUAL,MYTHOLOGICAL,JAGANNATH
62,INOD13062,BIRAJA TEMPLE,"Biraja Temple is one of the beautiful temples of Jajpur, located in the Indian state of Odisha.  This holy shrine is dedicated to Sati, who incarnated (Shakti) as Biraja Maa. Situated on the riverbank of Baitarani, the temple is famous as one of the 51 Shakti Peeth in India. An enshrined deity of Lord Sweta Baraha, famed as Lord Vishnu's manifestation as the white bridegroom, is beautifully placed near the temple. It is considered that Mother's naval fell in this place. The Devi's idol in the Biraja temple depicts Her standing on Mahishasura. Maa Biraja's crown is adorned with engravings of Lord Ganesh, a Shivling, and a crescent moon.",20.85033917,86.33566982,TRILOCHANPUR,JAJPUR,JAJPUR,ODISHA,INDIA,755007,TEMPLES,ALL TIME,9,SPIRITUAL,GODDESS,DEVI PUJA
63,INOD13063,RATNAGIRI MONASTERY,"Ratnagiri meaning “hill of ornaments” is the site of a ruined Mahavira located in the Jajpur district of Odisha state. It is 90 km distance from Bhubaneswar and 37 km from Chandikhol. At the Ratnagiri Museum, you can see many attractive stone works, including ancient Buddha statues. The diamond triangle comprises two other sites of Buddhist remains situated atop a flat hillock sandwiched between the river Brahmins of Birupa. It was first noticed by then sub-divisional officer Jajpur MM Chakravarti in the year 1905. The Excavation at this site brought to light the remains of a magnificent Buddhist establishment, consisting of a stupa. Monastic complexes shrines, votive stupas myriad sculptures architectural fragments and other antiquities, which are aptly comparable to Nalanda of Bihar.",20.64272668,86.33604545,RATNAGIRI,DHARMASALA,JAJPUR,ODISHA,INDIA,755003,MONUMENTS,ALL TIME,9,HISTORICAL,ARCHITECTURE,UNIQUE
64,INOD13064,OLASUNI TEMPLE,"Olasuni Hill and Temple is situated nearly by the National Highway No 5 and 60 km distance from Cuttack via Chandikhol road. The Samadhipitha of Santha Arakhit Das is on the top of the Olasuni hill and goddess. Olasuni is worshipped at the feet of the hill towards the south nearby the river Gobari.  The first name of Arakhit was Balavadra Deb elder son of Padamalav Dev. The then king of Badakhemundi Taluk of Ganjam district. His mother’s name was Mukta Devi. At the age of 14, Balavadra Deb left his royal palace and moved hills and forests searching for the blessing of God. In the end, he came to Olasuni hillock, where he started his Sadhana and ultimately got siddhi. During his livelihood at Olasuni. He had written so many books out of which Mahimandal Gita is important to all. ",20.59042914,86.27175556,JAIPUR,DARPANIGARH,JAJPUR,ODISHA,INDIA,754205,TEMPLES,ALL TIME,9,SPIRITUAL,MYTHOLOGICAL,DEVI PUJA
65,INOD13065,ASHOKJHAR WATERFALL,"The famous tourist place Ashokjhar Waterfall is located around 8 km distance from Sukinda, and it is about 65 distance km from Jajpur Town. The beautiful waterfall stream flows from the top of the hill. This waterfall originates from the roots of an Ashoka Tree, so this place is called Ashoka Jhar. To reach the waterfall, you have to go up the hill for about 2-3 km. It is the best place for trekking near Jajpur. There are Pindi for vehicle Parking and cooking Pindi’s facility near the Sukinda waterfall. The waterfall is surrounded by Hills and dense forests. A large number of tourists come here in the winter to enjoy the beautiful natural scenery of the Hills and the Wonderful sounds of the waterfalls. At the top of the Ashokajhar hill is the Mahagiri Cave, in which many small deities are worshipped. It is a good place for a weekend picnic in the winter season. ",21.04472755,85.89660968,SUKINDA,JAJPUR,JAJPUR,ODISHA,INDIA,755018,WATERFALLS,WINTER,9,NATURAL,HILLS,ADVENTURE
66,INOD14066,PARADEEP PORT,"Paradip Port is located about 58 km from Jagatsinghpur Town and 94 km away from Cuttack. It is a major seaport of India for trade activities with a fine sea beach. It is famous for being the fish trading centre of eastern India. Many international ships can be seen in this port. Paradip is one of the Major Ports of India. Late Biju Patnaik, the then Chief Minister of Odisha, is the founder and father of Paradeep Port. Late Jawaharlal Nehru, the then Prime Minister of India, laid the foundation stone of the Port on 3rd January 1962 near the confluence of the river Mahanadi and the Bay of Bengal. The government of India took over the management of the Port from the Government of Odisha on 1st June 1965. INS “Investigator” had the privilege of maiden berthing in the Port on the 12th of March 1966.",20.27292274,86.67444736,PARADIP,PARADIP,JAGATSINGHAPUR,ODISHA,INDIA,745120,PORTS,ALL TIME,10,NATURAL,INFRASTRUCTURE,OCEAN
67,INOD14067,SIALI SEA BEACH,"Siali Sea Beach is located at a distance of 46 km from Jagatsinghpur and 106 km from Bhubaneswar. It is one of the picturesque beaches in coastal Odisha. A beautiful and peaceful beach and yet unexplored. The best time to visit Siali is in the winter season. The Oceanic view of the sunset is very very beautiful. Siali Sea Beach is One of the cleanest beaches in Odisha. There are two Eco Resorts hotels available for tourists to spend the night and relax. It is also the best picnic spot which attracts visitors for its beautiful seashore. The best time to visit Siali Beach is in the Winter Season. It is a beautiful picnic spot and also a peaceful place like Puri beach. Red crabs and jellyfish can be seen on the beach, which is another attraction of Shiali Beach.",20.08863985,86.46472305,SAHADABEDI,ERASAMA,JAGATSINGHAPUR,ODISHA,INDIA,754110,BEACHES,WINTER,9,NATURAL,ADVENTURE,UNIQUE
68,INOD14068,SARALA TEMPLE,"Jhankad is famous for the goddess Maa Sarala temple. It is located just 15 km distance from Jagatsinghpur Town and about 54 km from Cuttack. Goddess Sarala is the best one of wisdom and power. She is called Maha Saraswati and is one of the eight prominent Shakti Pithas of Odisha. Sidheswar Parida named Sarala das, who has written Sarala Mahabharat with the blessing of goddess Sarala in the century AD. The environment of the place is very calm and quiet. Throughout the year devotees from different parts of Odisha come here to worship goddess Sarala. Maa Sarala Mandir is a famous temple in the Jagatsingpur, Odisha.",20.27993382,86.29346881,JHANKAD,TIRTOL,JAGATSINGHAPUR,ODISHA,INDIA,754136,TEMPLES,ALL TIME,9,SPIRITUAL,MYTHOLOGICAL,DEVI PUJA
69,INOD14069,MARINE AQUARIUM,"The Marine  aquarium is located close to the Paradeep beach and 60 km distance from Jagatsinghpur. It is One of the best place in the Paradip Sea Beach fully air-conditioned and well decorated by colorful lights. 28 species of fishes are collected here in these glass framed aquaria inside the environment is too quiet to observe all types of fishes along with their name and scientific name. The main attraction of the aquarium is so beautiful lobsters very nice feeling to see it. Since this Aquarium is near Sea Beach, many tourists come here to visit this place. The outside environment is also well maintained with green grass and this building is situated beside the wide sea beach road.",20.25643524,86.65701258,PARADEEP,PARADIP,JAGATSINGHAPUR,ODISHA,INDIA,754142,BEACHES,ALL TIME,8,NATURAL,WILDLIFE,OCEAN
70,INOD14070,GOBARDHANA PITHA,"Gobardhana Pitha Garoi Ashram is located at Garoi Village of Jagatsinghpur District. Rishi Gobardhan statue is worshipped here. The Temple is named after the Rishi Gobardhana. It is also famous for Jagannath temple and Swetabata at the 30 km distance from Paradeep. Lord Jagannath, Balabhadra and Devi Subhadra are being worshipped here along with Maha Lakshmi, Maha Saraswati, Maha Kali, Lord Mahadev and Lord Hanuman. The lord Jagannatha temple was made by Budhha Baba. There is a confluence of the Devi and Gobari river here. Ratha Yatra is the main festival of Garoi Ashram. Every year thousands of devotees come here to see the Festival. It is a very calm and quiet place and lots of pilgrims visit every day. The Place is attracting thousands of visitors and Pilgrimages for its Panoramic Picturesque as this temple.",20.05280437,86.24482055,GAROI,BALIKUDA,JAGATSINGHAPUR,ODISHA,INDIA,754113,TEMPLES,ALL TIME,9,SPIRITUAL,ADVENTURE,MYTHOLOGICAL
71,INOD15071,CHILIKA LAKE,"Nalabana is another view of Chilika that is a haven for migratory birds. It is about 110 km distance from Bhubaneswar and 85 km from Khordha town. During winter a large number of migratory birds come here from South Africa, Brazil, the Caspian Sea, Mongolia Southeast Asia, Ladakh and the Himalayas. The large Nalabana Island covering 15.53 sq km in the lagoon area was declared a bird sanctuary in 1987. The core area of about 6 sq km attracts around 400,000 waterfowls of different species. The large Nalabana Island covering 15.53 sq km in the lagoon area was declared a bird sanctuary in 1987. The core area of about 6 sq km attracts around 400,000 waterfowls of different species.",19.69107105,85.29382389,BALUGAON,CHILIKA,KHORDHA,ODISHA,INDIA,752030,ISLAND,WINTER,10,NATURAL,WILDLIFE,ADVENTURE
72,INOD15072,NANDANKANAN ZOOLOGICAL PARK,"Bhubaneswar Nandankanan Zoological Park is located near Kanjia Lake near Chandaka-Dampara Wildlife Sanctuary, It is one of the biggest and most famous zoos in India. The very name of Nandankanan, in mythology, delineates the ecstatic but imaginary beauty of the celestial garden. It also indicates the real beautiful spots par excellence on earth, where one can see the panoramic views of nature and appreciate the glamour that exists in the external morphology of plants and animals. The zoo is enriched with 210 enclosures at Nandankanan. It has the significance of having both cages and open moat enclosures. There are 116 cages and 94 open-moated enclosures to house all the captive animals of Nandankanan. It has the glory of having 156 species of animals which includes 41 spp. Mammals, 83 spp. Birds, 26 spp. Reptiles and 6 spp. of amphibians. Nandankanan has a huge number of animal collections. There are 3004 no animals, including 1175 mammals, 1546 birds, 262 reptiles and 21 amphibians. Of these 156 species, 103 are indigenous and 53 are exotic. There are 15 spp of mammals, 120 spp of birds, 15 spp of reptiles, and 85 spp of butterflies, which freely move inside the sanctuary.",20.39611311,85.82596036,BARANG,BHUBANESWAR,KHORDHA,ODISHA,INDIA,754003,PARK,ALL TIME,10,NATURAL,WILDLIFE,ADVENTURE
73,INOD15073,LINGARAJ TEMPLE,"Lingaraj Temple is situated in the old town of Bhubaneswar. King Jajatikeshari built it in the 10th century AD. The main spine is 54 meters high (220 feet). Besides this, there is a pillared hall, a dancing hall (Nata Mandir) and a hall for offering Bhoga (Bhoga Mandap). The wall campus has 50 smaller shrines, including one dedicated to Goddess Parvati, Bhubaneswar’s Biggest temp, Lingaraj Mandir is a tourist attraction places near Bhubaneswar. This biggest temple presents the Kalinga type of architecture and the architectural activities at Bhubaneswar (only Hindus are allowed). Lord Lingaraj (great Saiva Linga) and Goddess Parvati are the presiding deities of this temple. Maha Sivaratri (Jagar Mela) in the month of Magha (Jan-Feb) and the Car festival on the day of Asokastami in Chaitra (March-April) are the main festival of Lord Lingaraj are observed with much pomp and ceremony.",20.23864314,85.8337767,LINGARAJ NAGAR,BHUBANESWAR,KHORDHA,ODISHA,INDIA,751002,TEMPLES,ALL TIME,10,SPIRITUAL,ARCHITECTURE,WORLD FAMOUS
